binder(kg/m3),pozzolan(kg/m3),fine_aggregate(kg/m3),water(kg/m3),foaming_agent(kg/m3),measured_density(kg/m3),period_of_testing(Days),compressive_strength(MPa)
705.2,0.0,705.2,211.56,29.5,1624.3,7,20.12
689.3,0.0,689.3,206.79,31.1,1587.56,7,18.53
690.5,0.0,690.5,207.15,30.9,1590.52,7,18.42
684.9,0.0,684.9,205.47,31.5,1577.48,7,17.47
850.0,0.0,850.0,297.5,10.7,2000.59,7,38.34
852.0,0.0,852.0,298.2,10.4,2005.93,7,37.84
852.24,0.0,852.24,298.284,10.4,2006.52,7,36.15
844.0,0.0,844.0,295.4,11.3,1986.96,7,36.41
841.4,0.0,841.4,294.48999999999995,11.6,1981.04,7,35.4
836.6,0.0,836.6,292.81,12.1,1969.78,7,36.04
770.6,0.0,770.6,269.71,19.0,1814.22,7,24.7
759.5,0.0,759.5,265.825,20.2,1788.15,7,27.3
776.0,0.0,776.0,271.59999999999997,18.4,1828.15,7,27.74
758.5,0.0,758.5,265.47499999999997,20.3,1785.78,7,22.23
767.2,0.0,767.2,268.52,19.4,1806.22,7,23.47
758.2,0.0,758.2,265.37,20.3,1785.19,7,24.26
702.9,0.0,702.9,246.015,26.1,1654.81,7,18.29
701.0,0.0,701.0,245.35,26.3,1650.37,7,18.58
704.25,0.0,704.25,246.48749999999998,26.0,1658.07,7,19.78
693.7,0.0,693.7,242.795,27.1,1633.19,7,16.98
691.16,0.0,691.16,241.90599999999998,27.4,1627.26,7,16.82
693.0,0.0,693.0,242.54999999999998,27.2,1631.7,7,16.91
829.1,0.0,829.1,290.185,12.9,1952.0,7,29.81
831.1,0.0,831.1,290.885,12.6,1956.74,7,32.37
827.3,0.0,827.3,289.55499999999995,13.0,1947.85,7,31.86
818.5,0.0,818.5,286.47499999999997,14.0,1927.11,7,29.13
817.3,0.0,817.3,286.05499999999995,14.1,1924.15,7,28.84
826.3,0.0,826.3,289.205,13.1,1945.48,7,29.56
778.8,0.0,778.8,272.58,18.1,1833.48,7,29.11
753.3,0.0,753.3,263.655,20.8,1773.63,7,29.5
752.3,0.0,752.3,263.30499999999995,20.9,1771.26,7,28.62
765.7,0.0,765.7,267.995,19.5,1802.67,7,26.0
748.3,0.0,748.3,261.905,21.3,1761.78,7,26.01
750.9,0.0,750.9,262.815,21.1,1768.0,7,26.9
677.6,0.0,677.6,237.16,28.8,1595.26,7,21.17
678.0,0.0,678.0,237.29999999999998,28.7,1596.44,7,21.68
666.7,0.0,666.7,233.345,29.9,1569.48,7,20.78
666.0,0.0,666.0,233.1,30.0,1568.3,7,19.23
661.0,0.0,661.0,231.35,30.5,1556.15,7,20.76
660.3,0.0,660.3,231.10499999999996,30.6,1554.67,7,19.86
630.4,0.0,630.4,252.16,30.5,1516.34,7,2.55
737.2,0.0,737.2,294.88000000000005,18.8,1773.27,7,4.06
799.0,0.0,799.0,319.6,11.9,1921.82,7,4.85
624.9,0.0,624.9,249.96,31.1,1503.15,7,2.83
732.3,0.0,732.3,292.92,19.3,1761.53,7,3.79
793.8,0.0,793.8,317.52,12.5,1909.38,7,4.53
614.6,0.0,614.6,276.57,29.5,1505.8,28,11.76
608.6,0.0,608.6,273.87,30.2,1490.96,28,11.88
606.13,0.0,606.13,272.76,30.5,1485.04,28,11.92
587.8,0.0,587.8,264.5,32.6,1440.0,28,12.3
578.7,0.0,578.7,260.42,33.6,1417.78,28,11.68
581.7,0.0,581.7,261.77,33.3,1425.19,28,13.45
710.14,0.0,710.14,319.56,18.5,1739.85,28,24.63
713.0,0.0,713.0,320.85,18.2,1746.96,28,24.53
714.3,0.0,714.3,321.44,18.1,1749.93,28,24.49
703.6,0.0,703.6,316.62,19.3,1723.85,28,24.87
699.7,0.0,699.7,314.87,19.7,1714.37,28,24.39
702.3,0.0,702.3,316.04,19.4,1720.59,28,25.61
777.4,0.0,777.4,349.83,10.8,1904.59,28,31.44
775.0,0.0,775.0,348.75,11.1,1898.67,28,32.04
789.3,0.0,789.3,355.19,9.5,1933.63,28,31.46
772.5,0.0,772.5,347.63,11.4,1892.74,28,32.16
753.2,0.0,753.2,338.94,13.6,1845.33,28,31.71
760.7,0.0,760.7,342.32,12.7,1863.7,28,37.83
784.0,0.0,392.0,352.8,24.7,1528.89,28,15.54
782.0,0.0,391.0,351.9,24.9,1525.04,28,15.24
779.0,0.0,389.5,350.55,25.2,1519.11,28,15.75
757.0,0.0,378.5,340.65,27.3,1476.15,28,16.05
760.65,0.0,380.33,342.29,27.0,1483.26,28,15.71
748.8,0.0,374.4,336.96,28.1,1460.15,28,16.16
900.0,0.0,450.0,405.0,13.6,1748.0,28,30.59
902.0,0.0,451.0,405.9,13.4,1759.11,28,30.4
908.3,0.0,454.15,408.74,12.8,1771.26,28,30.19
883.9,0.0,441.95,397.76,15.2,1723.56,28,32.6
884.6,0.0,442.3,398.07,15.1,1725.04,28,25.76
892.0,0.0,446.0,401.4,14.4,1739.26,28,26.61
987.7,0.0,493.85,444.47,5.2,1925.93,28,37.2
992.8,0.0,496.4,446.76,4.7,1936.0,28,36.96
979.8,0.0,489.9,440.91,6.0,1910.52,28,37.34
982.2,0.0,491.1,441.99,5.7,1915.26,28,34.63
958.5,0.0,479.25,431.33,8.0,1869.04,28,35.48
985.2,0.0,492.6,443.34000000000003,5.4,1921.19,28,36.24
447.6,0.0,895.2,201.42000000000002,31.9,1544.3,28,11.75
